,headline,date
0,Where Does Ebola Come From? ,2014-07-29
1, The worst Ebola virus outbreak ever is ravaging Liberia  Sierra Leone  and Guinea. So far  the disease has killed 670 people and infected more than 1 000  ... Why Deadly Ebola Virus Is Likely to Hit the US But Not Spread ,2014-07-29
2, Ebola outbreak: Asky bans flights in West Africa  ,2014-07-29
3, Public health adviser Yewande Adeshina said 30000 people at risk ...  - ,2014-07-29
4, Ebola Politics  -  (),2014-07-29
5, Ebola plane travel scare has officials on edge  -  ,2014-07-29
6,   ()     Forbes  Azaria Marthyman  Ebola doctor  returns home to Victoria ,2014-07-29
7, Dr. Azaria Marthyman  a Victoria doctor who was part of a medical group that travelled to Liberia earlier this month to treat victims of the Ebola virus has returned ... Victoria doctor places himself in quarantine after treating Ebola in ... International - Global.ca,2014-07-29
8, Related Story: Doctor leading Sierra Leone's fight against Ebola ...  Online,2014-07-29
9, Ebola is believed to have killed 672 people in Guinea  Liberia and Sierra Leone since the outbreak began in February  according to the World Health ... Ebola conspiracy theories spreading fast as outbreak travels round ... ,2014-07-29
10, In Sierra Leone  which has the largest number of Ebola cases  thousands protested outside the country's main Ebola treatment facility in the eastern city of ... Ebola outbreak: Liberia suspends football  ,2014-07-29
11, Liberia has suspended all football activities in an effort to control the spread of the deadly Ebola virus. There was a risk of infection because football is a contact ... Ebola outbreak: More than doctors needed to contain West Africa's ...  - ,2014-07-29
12, An Ebola Epidemic Will Not Happen in the US Reason (),2014-07-29
13, Ebola SierraExpressMediaUSA Today features a slightly alarming headline: Ebola Only an Plane Ride Away from USA. Of course that is true  but that does ... NCAA Suspends Asky Airlines for Flying Ebola Virus Victim into ... Bella Naija,2014-07-29
14, IKEJA (NAN) ― Nigerian Civil Aviation Authority (NCAA) has suspended all ASky Airline flight operations to Nigeria over the transportation of an Ebola virus ... Ebola : 'It's close  it's at our front door' WND.,2014-07-29
15, Patrick Sawyer  the infected man who boarded an international flight last week carrying the deadly Ebola virus and set off alarms about the disease escaping ... Can social media help prevent the spread of Ebola ?  ,2014-07-29
16, West Africa is in the grip of the world's deadliest outbreak of Ebola   and many in the region are using social media to educate each other on the symptoms and ... Ebola : Nigeria is not out of the woods yet — Prof. Tomori Vanguard,2014-07-29
17,Ebola fears hit close to home ,2014-07-30
18," Sawyer is the first American to die in what health officials are calling the ""deadliest Ebola outbreak in history."" His death has sparked concerns that the virus ... Ebola : Spider's web of infection is growing as hunt continues for ... ",2014-07-30
19, 'We Need More': Fight Against Ebola Is Thin on the Ground  - .,2014-07-30
20, Congressman: Close Border to Ebola Countries Opinion - U.S.  & World Report,2014-07-30
21, Poverty is at the root of west Africa's ebola crisis  - Channel 4  (),2014-07-30
22, Ebola outbreak: US Peace Corps evacuates  Liberia closes schools  - ,2014-07-30
