,headline,date,number of tokens,1,1 hl ratio,2,2 hl ratio,3,3 hl ratio,4,4 hl ratio,5,5 hl ratio,6,6 hl ratio,7,7 hl ratio
0,"[u'come', u'?']",2014-07-29,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,"[u'worst', u'virus', u'outbreak', u'ever', u'ravaging', u'liberia', u'sierra', u'leone', u'guinea', u'.', u'far', u'disease', u'killed', u'670', u'people', u'infected', u'1', u'000', u'...', u'deadly', u'virus', u'likely', u'hit', u'us', u'spread']",2014-07-29,25,1,0.04,0,0.0,4,0.16,1,0.04,1,0.04,2,0.08,1,0.04
2,"[u'outbreak', u':', u'asky', u'bans', u'flights', u'west', u'africa']",2014-07-29,7,0,0.0,0,0.0,1,0.142857142857,0,0.0,0,0.0,0,0.0,0,0.0
3,"[u'public', u'health', u'adviser', u'yewande', u'adeshina', u'said', u'30000', u'people', u'risk', u'...', u'in-depth', u'-']",2014-07-29,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0833333333333,0,0.0
4,"[u'politics', u'-', u'(', u')']",2014-07-29,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,"[u'plane', u'travel', u'scare', u'officials', u'edge', u'in-depth', u'-']",2014-07-29,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,"[u'(', u')', u'forbes', u'azaria', u'marthyman', u'doctor', u'returns', u'home', u'victoria']",2014-07-29,9,0,0.0,0,0.0,0,0.0,0,0.0,1,0.111111111111,0,0.0,0,0.0
7,"[u'dr.', u'azaria', u'marthyman', u'victoria', u'doctor', u'part', u'medical', u'group', u'travelled', u'liberia', u'earlier', u'month', u'treat', u'victims', u'virus', u'returned', u'...', u'victoria', u'doctor', u'places', u'quarantine', u'treating', u'...', u'international', u'-', u'global.ca']",2014-07-29,26,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0769230769231,1,0.0384615384615,1,0.0384615384615
8,"[u'related', u'story', u':', u'doctor', u'leading', u'sierra', u'leone', u""'s"", u'fight', u'...', u'online']",2014-07-29,11,0,0.0,0,0.0,2,0.181818181818,0,0.0,1,0.0909090909091,0,0.0,0,0.0
9,"[u'believed', u'killed', u'672', u'people', u'guinea', u'liberia', u'sierra', u'leone', u'since', u'outbreak', u'began', u'february', u'according', u'world', u'health', u'...', u'conspiracy', u'theories', u'spreading', u'fast', u'outbreak', u'travels', u'round', u'...']",2014-07-29,24,1,0.0416666666667,0,0.0,3,0.125,0,0.0,0,0.0,2,0.0833333333333,0,0.0
10,"[u'sierra', u'leone', u'largest', u'number', u'cases', u'thousands', u'protested', u'outside', u'country', u""'s"", u'main', u'treatment', u'facility', u'eastern', u'city', u'...', u'outbreak', u':', u'liberia', u'suspends', u'football']",2014-07-29,21,0,0.0,0,0.0,2,0.0952380952381,0,0.0,0,0.0,0,0.0,0,0.0
11,"[u'liberia', u'suspended', u'football', u'activities', u'effort', u'control', u'spread', u'deadly', u'virus', u'.', u'risk', u'infection', u'football', u'contact', u'...', u'outbreak', u':', u'doctors', u'needed', u'contain', u'west', u'africa', u""'s"", u'...', u'in-depth', u'-']",2014-07-29,26,1,0.0384615384615,0,0.0,3,0.115384615385,0,0.0,0,0.0,0,0.0,0,0.0
12,"[u'epidemic', u'happen', u'us', u'reason', u'(', u')']",2014-07-29,6,0,0.0,0,0.0,0,0.0,1,0.166666666667,0,0.0,0,0.0,0,0.0
13,"[u'sierraexpressmediausa', u'today', u'features', u'slightly', u'alarming', u'headline', u':', u'plane', u'ride', u'away', u'usa', u'.', u'course', u'true', u'...', u'ncaa', u'suspends', u'asky', u'airlines', u'flying', u'virus', u'victim', u'...', u'bella', u'naija']",2014-07-29,25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,"[u'ikeja', u'(', u'nan', u')', u'\u2015', u'nigerian', u'civil', u'aviation', u'authority', u'(', u'ncaa', u')', u'suspended', u'asky', u'airline', u'flight', u'operations', u'nigeria', u'transportation', u'virus', u'...', u':', u""'it"", u""'s"", u'close', u""'s"", u'front', u'door', u""'"", u'wnd', u'.']",2014-07-29,31,0,0.0,1,0.0322580645161,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
15,"[u'patrick', u'sawyer', u'infected', u'man', u'boarded', u'international', u'flight', u'last', u'week', u'carrying', u'deadly', u'virus', u'set', u'alarms', u'disease', u'escaping', u'...', u'social', u'media', u'help', u'prevent', u'spread', u'?']",2014-07-29,23,1,0.0434782608696,0,0.0,1,0.0434782608696,0,0.0,1,0.0434782608696,1,0.0434782608696,1,0.0434782608696
16,"[u'west', u'africa', u'grip', u'world', u""'s"", u'deadliest', u'outbreak', u'many', u'region', u'using', u'social', u'media', u'educate', u'symptoms', u'...', u':', u'nigeria', u'woods', u'yet', u'\u2014', u'prof.', u'tomori', u'vanguard']",2014-07-29,23,1,0.0434782608696,1,0.0434782608696,1,0.0434782608696,0,0.0,0,0.0,1,0.0434782608696,0,0.0
17,"[u'fears', u'hit', u'close', u'home']",2014-07-30,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
18,"[u'sawyer', u'first', u'american', u'die', u'health', u'officials', u'calling', u'``', u'deadliest', u'outbreak', u'history', u'.', u""''"", u'death', u'sparked', u'concerns', u'virus', u'...', u':', u'spider', u""'s"", u'web', u'infection', u'growing', u'hunt', u'continues', u'...']",2014-07-30,27,0,0.0,0,0.0,0,0.0,0,0.0,1,0.037037037037,0,0.0,1,0.037037037037
19,"[u""'we"", u'need', u""'"", u':', u'fight', u'thin', u'ground', u'in-depth', u'-', u'.']",2014-07-30,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20,"[u'congressman', u':', u'close', u'border', u'countries', u'opinion', u'-', u'u.s.', u'&', u'world', u'report']",2014-07-30,11,4,0.363636363636,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0909090909091,0,0.0
21,"[u'poverty', u'root', u'west', u'africa', u""'s"", u'crisis', u'-', u'channel', u'4', u'(', u')']",2014-07-30,11,1,0.0909090909091,0,0.0,2,0.181818181818,0,0.0,0,0.0,0,0.0,0,0.0
22,"[u'outbreak', u':', u'us', u'peace', u'corps', u'evacuates', u'liberia', u'closes', u'schools', u'in-depth', u'-']",2014-07-30,11,0,0.0,0,0.0,0,0.0,1,0.0909090909091,0,0.0,0,0.0,0,0.0
23,"[u'u.s.', u'&', u'world', u'report', u'america', u'quartz', u'virus', u':', u'risk', u'outbreak', u'spreading', u'australia', u'low', u'chief', u'...', u'online']",2014-07-30,16,2,0.125,0,0.0,0,0.0,0,0.0,1,0.0625,1,0.0625,0,0.0
24,"[u'risk', u'deadly', u'virus', u'spreading', u'australia', u'west', u'africa', u'low', u'commonwealth', u'chief', u'medical', u'officer', u'said', u'.', u'almost', u'700', u'people', u'...', u'within', u'next', u'days', u'know', u'kent', u'brantly', u'nancy', u'...']",2014-07-30,26,2,0.0769230769231,0,0.0,2,0.0769230769231,0,0.0,2,0.0769230769231,1,0.0384615384615,0,0.0
25,"[u'two', u'american', u'doctors', u'battling', u'virus', u'entering', u""'critical"", u""'"", u'phase', u'treatment', u'head', u'charity', u'sent', u'liberia', u'revealed', u'...', u'american', u'doctor', u""'terrified"", u""'"", u'catching', u'disease', u'trying', u'...']",2014-07-30,24,0,0.0,0,0.0,0,0.0,0,0.0,3,0.125,1,0.0416666666667,0,0.0
26,"[u'need', u'know', u'virus', u'wwlp', u'.']",2014-07-30,5,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
27,"[u'wwlp', u'.', u'uk', u'.', u':', u'doctor', u'quarantined', u'canada', u'breitbart']",2014-07-30,9,0,0.0,0,0.0,0,0.0,0,0.0,1,0.111111111111,0,0.0,0,0.0
28,"[u'(', u'afp', u')', u'\u2014', u'canadian', u'doctor', u'put', u'quarantine', u'precaution', u'spending', u'weeks', u'west', u'africa', u'treating', u'patients', u'deadly', u'virus', u'...', u':', u'nhs', u'deal', u'threat', u'uk', u'says', u'philip', u'hammond']",2014-07-30,26,1,0.0384615384615,0,0.0,2,0.0769230769231,2,0.0769230769231,1,0.0384615384615,1,0.0384615384615,0,0.0
29,"[u'uk', u""'s"", u'health', u'services', u'experience', u'deal', u'threat', u'posed', u'virus', u'foreign', u'secretary', u'philip', u'hammond', u'said', u'.', u'mr', u'hammond', u'said', u'...', u'death', u'key', u'doctor', u'damages', u'fight', u'sierra', u'...', u'public', u'radio', u'international']",2014-07-30,29,0,0.0,0,0.0,1,0.0344827586207,0,0.0,1,0.0344827586207,0,0.0,0,0.0
30,"[u'outbreak', u':', u'pan-african', u'airline', u'halts', u'flights', u'west', u'african', u'...']",2014-07-30,9,0,0.0,0,0.0,1,0.111111111111,0,0.0,0,0.0,0,0.0,0,0.0
31,"[u'``', u'suspension', u'flights', u'freetown', u'monrovia', u'asky', u'related', u'fight', u'spread', u'virus', u'``', u'said', u'afoussath', u'traore', u'spokesman', u'...', u'crisis', u':', u'done', u'stop', u'spread', u'?']",2014-07-30,22,1,0.0454545454545,0,0.0,1,0.0454545454545,0,0.0,0,0.0,0,0.0,0,0.0
32,"[u'two', u'american', u'missionaries', u'fighting', u'life', u'virus', u'...', u'christian', u'post']",2014-07-30,9,0,0.0,0,0.0,0,0.0,0,0.0,1,0.111111111111,0,0.0,0,0.0
33,"[u':', u'liberia', u'shuts', u'schools', u'tackle', u'outbreak']",2014-07-30,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
34,"[u'liberia', u""'s"", u'government', u'announced', u'closing', u'schools', u'across', u'country', u'stop', u'spread', u'deadly', u'virus', u'.', u'munities', u'would', u'...', u'outbreak', u':', u'british', u'doctor', u'tells', u'medics', u'risk', u'lives', u'treat', u'...']",2014-07-30,26,1,0.0384615384615,0,0.0,1,0.0384615384615,0,0.0,1,0.0384615384615,0,0.0,1,0.0384615384615
35,"[u'british', u'doctor', u'went', u'treat', u'victims', u'africa', u'told', u'medics', u'put', u'...', u'dozens', u'health', u'workers', u'died', u'treating', u'patients', u'dr', u'spencer', u'...', u'survivor', u':', u""'i"", u'terribly', u'afraid', u""'""]",2014-07-30,25,0,0.0,1,0.04,1,0.04,2,0.08,1,0.04,0,0.0,2,0.08
36,"[u'canada', u""'concerned"", u""'"", u'outbreak', u'risk', u'country', u'low', u'...', u'ctv']",2014-07-30,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
